Age,Gender,Revenue_Total,N_Purchases,Purchase_VALUE,Pay_Method,Time_Spent,Browser,Newsletter,Voucher,Purchase_Month,Purchase_Day,Average_PurchaseValue
53,0,45.3,2,24.915,1,885,0,0,0,6,22,22.65
18,1,36.2,3,2.896,2,656,0,0,1,12,10,12.066666666666668
52,1,10.6,1,10.6,0,761,0,1,0,3,14,10.6
29,0,54.1,5,43.28,1,906,0,1,0,10,25,10.82
21,1,56.9,1,56.9,1,605,0,1,0,9,14,56.9
55,0,13.7,6,12.467,1,364,1,0,0,5,14,2.283333333333333
17,1,30.7,6,2.456,0,654,0,0,0,1,9,5.116666666666666
30,1,8.1,7,6.561,3,1011,0,0,0,3,28,1.157142857142857
51,0,18.0,4,11.88,0,312,3,1,0,8,4,4.5
63,1,19.2,4,11.904,3,828,0,0,0,10,6,4.8
26,0,36.5,5,31.39,2,1029,0,0,1,12,31,7.3
42,1,14.0,4,4.34,3,479,1,0,0,11,22,3.5
40,0,14.7,2,2.94,3,645,0,0,0,8,2,7.35
19,0,37.4,4,15.334,3,501,1,0,0,5,7,9.35
30,1,15.4,1,15.4,3,802,2,0,0,5,2,15.4
60,0,28.7,7,0.861,3,804,0,0,0,6,4,4.1
22,0,39.7,3,30.569,2,931,3,0,0,2,22,13.233333333333334
39,1,5.1,3,1.53,3,911,3,1,0,7,13,1.7
21,1,43.9,6,19.755,1,468,0,0,1,9,13,7.316666666666666
20,1,36.4,6,14.56,2,714,0,0,0,1,16,6.066666666666666
54,0,23.2,1,23.2,0,474,0,0,1,7,3,23.2
53,0,26.3,7,15.517,3,691,1,1,0,12,22,3.757142857142857
22,1,33.1,2,0.662,0,394,0,0,1,1,10,16.55
32,1,1.2,4,0.204,0,1013,1,0,1,1,20,0.3
36,1,41.3,6,24.367,1,165,3,0,0,4,16,6.883333333333333
24,1,25.5,3,4.08,0,710,0,0,0,5,13,8.5
57,1,34.1,5,18.073,3,664,0,0,1,9,7,6.82
27,1,30.8,4,26.18,2,808,1,0,0,7,21,7.7
21,0,31.1,2,9.019,0,992,0,0,0,1,11,15.55
52,1,48.1,6,34.151,3,311,0,0,1,10,19,8.016666666666667
52,1,42.7,2,22.204,1,283,1,1,0,2,4,21.35
52,1,53.5,4,14.98,0,941,0,0,0,12,13,13.375
55,0,39.0,2,23.79,1,137,0,0,0,2,3,19.5
63,1,30.3,5,5.454,0,469,0,0,0,8,16,6.0600000000000005
17,0,34.7,1,34.7,1,338,1,0,0,9,17,34.7
41,1,41.3,6,9.086,1,723,0,0,0,10,11,6.883333333333333
32,1,26.4,7,4.752,0,496,0,1,0,5,14,3.7714285714285714
57,0,33.1,7,30.452,2,142,0,0,1,7,12,4.728571428571429
39,1,59.3,3,21.348,0,484,0,0,0,4,24,19.766666666666666
35,0,14.3,1,14.3,2,552,0,0,0,3,25,14.3
48,1,35.0,7,21.7,2,610,3,1,0,11,5,5.0
